user_id,question_id,user_level,is_correct,solve_time_sec,submitted_at,attempt_count
user_001,3_3_6,intermediate,False,54,2025-01-01T00:00:00,1
user_001,3_1_3,intermediate,False,54,2025-01-01T00:02:00,1
user_001,3_6_14,intermediate,False,71,2025-01-01T00:04:00,1
user_001,2_2_44,intermediate,True,20,2025-01-01T00:06:00,1
user_001,2_2_30,intermediate,False,72,2025-01-01T00:08:00,1
user_001,1_1_18,intermediate,True,34,2025-01-01T00:10:00,1
user_001,3_3_12,intermediate,True,51,2025-01-01T00:12:00,1
user_001,1_1_32,intermediate,False,30,2025-01-01T00:14:00,1
user_001,3_6_5,intermediate,False,94,2025-01-01T00:16:00,1
user_001,2_3_23,intermediate,True,46,2025-01-01T00:18:00,1
user_001,3_7_6,intermediate,False,44,2025-01-01T00:20:00,1
user_001,1_1_25,intermediate,True,32,2025-01-01T00:22:00,1
user_001,2_1_17,intermediate,True,72,2025-01-01T00:24:00,1
user_001,3_6_6,intermediate,True,119,2025-01-01T00:26:00,1
user_001,1_1_19,intermediate,True,23,2025-01-01T00:28:00,1
user_001,1_1_27,intermediate,False,26,2025-01-01T00:30:00,1
user_001,3_1_17,intermediate,True,69,2025-01-01T00:32:00,1
user_001,2_1_35,intermediate,True,15,2025-01-01T00:34:00,1
user_001,1_1_1,intermediate,True,33,2025-01-01T00:36:00,1
user_001,3_3_4,intermediate,True,89,2025-01-01T00:38:00,1
user_001,2_2_29,intermediate,True,34,2025-01-01T00:40:00,1
user_001,3_6_13,intermediate,True,28,2025-01-01T00:42:00,1
user_001,3_4_13,intermediate,True,73,2025-01-01T00:44:00,1
user_001,2_2_2,intermediate,False,77,2025-01-01T00:46:00,1
user_001,3_4_6,intermediate,True,75,2025-01-01T00:48:00,1
user_001,2_2_41,intermediate,False,28,2025-01-01T00:50:00,1
user_001,3_3_19,intermediate,True,34,2025-01-01T00:52:00,1
user_001,1_1_30,intermediate,False,29,2025-01-01T00:54:00,1
user_001,2_3_1,intermediate,False,31,2025-01-01T00:56:00,1
user_001,3_2_5,intermediate,True,52,2025-01-01T00:58:00,1
user_001,1_1_20,intermediate,True,20,2025-01-01T01:00:00,1
user_001,3_5_7,intermediate,True,91,2025-01-01T01:02:00,1
user_001,2_3_6,intermediate,False,38,2025-01-01T01:04:00,1
user_001,2_1_39,intermediate,True,39,2025-01-01T01:06:00,1
user_001,1_1_24,intermediate,True,28,2025-01-01T01:08:00,1
user_001,2_1_13,intermediate,True,76,2025-01-01T01:10:00,1
